round_epochs,loss,val_loss,batch_size,dense2_nodes,dense_layers,epochs,lr,lstm1_nodes,lstm2_nodes,lstm_layers,optimizer,time_steps
11,0.001292254548277516,0.0006318544076445202,20,20,1,50,0.0005,90,70,1,rms,90
11,0.012530396694794822,0.008658291820514327,20,20,1,50,0.0005,90,70,1,adam,30
11,0.010600434432765751,0.004928678878523568,20,20,1,50,0.0005,90,70,1,adam,60
11,0.00959874523033825,0.0042784551003326975,20,20,1,50,0.0005,90,70,1,adam,90
11,0.0010122512036498084,0.0015078178087909084,20,20,1,50,0.0005,90,70,2,rms,30
11,0.001179804236200671,0.0014186695334501565,20,20,1,50,0.0005,90,70,2,rms,60
11,0.0008431710264965065,0.001690734961691002,20,20,1,50,0.0005,90,70,2,rms,90
11,0.025035804886389616,0.026291393985350926,20,20,1,50,0.0005,90,70,2,adam,30
11,0.026689946891344858,0.029653042435963103,20,20,1,50,0.0005,90,70,2,adam,60
11,0.03121116252292936,0.03827824406325817,20,20,1,50,0.0005,90,70,2,adam,90
11,0.0011277513820724795,0.0007572069650147265,20,20,1,50,0.0005,100,40,1,rms,30
11,0.0010740134976463243,0.0008429258416575241,20,20,1,50,0.0005,100,40,1,rms,60
11,0.0012183686613214525,0.0007768804129833977,20,20,1,50,0.0005,100,40,1,rms,90
11,0.01108423352531677,0.006180535662376012,20,20,1,50,0.0005,100,40,1,adam,30
11,0.010393627631158163,0.0041596488284066,20,20,1,50,0.0005,100,40,1,adam,60
11,0.009775691393677297,0.005012913539798723,20,20,1,50,0.0005,100,40,1,adam,90
11,0.000973156299126152,0.0009696356385878365,20,20,1,50,0.0005,100,40,2,rms,30
11,0.0010619619487158042,0.001673563712950241,20,20,1,50,0.0005,100,40,2,rms,60
11,0.0010905999700540003,0.0018660067102043993,20,20,1,50,0.0005,100,40,2,rms,90
11,0.01856107372865455,0.021880790785265464,20,20,1,50,0.0005,100,40,2,adam,30
11,0.02070617852638466,0.022796688442851636,20,20,1,50,0.0005,100,40,2,adam,60
11,0.028231274289060002,0.034801144690977205,20,20,1,50,0.0005,100,40,2,adam,90
11,0.0008699953980625714,0.0005768815881310729,20,20,1,50,0.0005,100,60,1,rms,30
11,0.0010309789793958625,0.0009756926236614744,20,20,1,50,0.0005,100,60,1,rms,60
11,0.0010393883308190235,0.0006807500030845404,20,20,1,50,0.0005,100,60,1,rms,90
11,0.01211114700921067,0.0076357102758872015,20,20,1,50,0.0005,100,60,1,adam,30
11,0.010803030422804031,0.004656595430594493,20,20,1,50,0.0005,100,60,1,adam,60
11,0.009977902626685266,0.00474814939726558,20,20,1,50,0.0005,100,60,1,adam,90
11,0.001162148095610617,0.0009125190736085642,20,20,1,50,0.0005,100,60,2,rms,30
11,0.000955586108003362,0.0015997359296306968,20,20,1,50,0.0005,100,60,2,rms,60
11,0.0010707652428970263,0.0006552910095908575,20,20,1,50,0.0005,100,60,2,rms,90
11,0.02754556262238541,0.031758460022198655,20,20,1,50,0.0005,100,60,2,adam,30
11,0.024850235447626223,0.02972400870094908,20,20,1,50,0.0005,100,60,2,adam,60
11,0.026988507885181784,0.03362360650466548,20,20,1,50,0.0005,100,60,2,adam,90
11,0.0011070337929399029,0.0006316620019788388,20,20,1,50,0.0005,100,70,1,rms,30
11,0.0010506989651317285,0.0008429451170625126,20,20,1,50,0.0005,100,70,1,rms,60
11,0.0011365805375116536,0.0016242645913735032,20,20,1,50,0.0005,100,70,1,rms,90
11,0.011031965240742543,0.006900792892944689,20,20,1,50,0.0005,100,70,1,adam,30
11,0.010409509990072686,0.004688024446566371,20,20,1,50,0.0005,100,70,1,adam,60
11,0.010225340185867508,0.004495601159416967,20,20,1,50,0.0005,100,70,1,adam,90
11,0.0008169868093711704,0.001294244259649228,20,20,1,50,0.0005,100,70,2,rms,30
11,0.0008916008813721787,0.0012916589076531694,20,20,1,50,0.0005,100,70,2,rms,60
11,0.0008562225297542422,0.0015595892211422325,20,20,1,50,0.0005,100,70,2,rms,90
11,0.020885998799685557,0.02530382201075554,20,20,1,50,0.0005,100,70,2,adam,30
11,0.029682687770650543,0.03387657699591302,20,20,1,50,0.0005,100,70,2,adam,60
11,0.029071114277847265,0.035984705512722336,20,20,1,50,0.0005,100,70,2,adam,90
11,0.004967618839529778,0.002068891490732009,20,20,1,50,0.0001,70,40,1,rms,30
11,0.0043974857432814785,0.0019331320877523815,20,20,1,50,0.0001,70,40,1,rms,60
11,0.0032484603698878568,0.0019423980847932398,20,20,1,50,0.0001,70,40,1,rms,90
11,0.05418817611907295,0.08642856295530994,20,20,1,50,0.0001,70,40,1,adam,30
11,0.04522632902506927,0.07292475210542375,20,20,1,50,0.0001,70,40,1,adam,60
11,0.03929303902942611,0.05982457788454162,20,20,1,50,0.0001,70,40,1,adam,90
11,0.005342899287592189,0.00194606464356184,20,20,1,50,0.0001,70,40,2,rms,30
11,0.004444776744948644,0.0026756625887541536,20,20,1,50,0.0001,70,40,2,rms,60
11,0.005170062496754512,0.0025098050168404977,20,20,1,50,0.0001,70,40,2,rms,90
11,0.04801974809686443,0.06706192041747272,20,20,1,50,0.0001,70,40,2,adam,30
11,0.05161948977132337,0.07209078373110041,20,20,1,50,0.0001,70,40,2,adam,60
11,0.048462897843244125,0.07140326251586278,20,20,1,50,0.0001,70,40,2,adam,90
11,0.005253758414264712,0.0019374117036932148,20,20,1,50,0.0001,70,60,1,rms,30
11,0.0037942335181258093,0.0015381584872808704,20,20,1,50,0.0001,70,60,1,rms,60
11,0.004328209210106419,0.002392922204712199,20,20,1,50,0.0001,70,60,1,rms,90
11,0.053154939139757926,0.08356468736504515,20,20,1,50,0.0001,70,60,1,adam,30
11,0.04759441436541201,0.07563098226772978,20,20,1,50,0.0001,70,60,1,adam,60
11,0.04390229868265439,0.06941086029012998,20,20,1,50,0.0001,70,60,1,adam,90
11,0.004719939077010931,0.002041424195340369,20,20,1,50,0.0001,70,60,2,rms,30
11,0.005627090569392712,0.0022387195135803615,20,20,1,50,0.0001,70,60,2,rms,60
11,0.0043423312914567256,0.001941828377958801,20,20,1,50,0.0001,70,60,2,rms,90
11,0.05442862463506622,0.0766936616661648,20,20,1,50,0.0001,70,60,2,adam,30
11,0.05328115057952777,0.07413551782039886,20,20,1,50,0.0001,70,60,2,adam,60
11,0.049384381393997034,0.07513417427738507,20,20,1,50,0.0001,70,60,2,adam,90
11,0.004730468783200012,0.002103853587565633,20,20,1,50,0.0001,70,70,1,rms,30
11,0.0041140868431992,0.001936490342833419,20,20,1,50,0.0001,70,70,1,rms,60
11,0.0036098563851199436,0.0027028802057935133,20,20,1,50,0.0001,70,70,1,rms,90
11,0.052157328843171875,0.07924793257067601,20,20,1,50,0.0001,70,70,1,adam,30
11,0.04567619294605472,0.0711264156122157,20,20,1,50,0.0001,70,70,1,adam,60
11,0.045926334174844076,0.07302314399017228,20,20,1,50,0.0001,70,70,1,adam,90
11,0.0043417280890871235,0.0019124424470646773,20,20,1,50,0.0001,70,70,2,rms,30
11,0.004348503961933382,0.0015157938791201153,20,20,1,50,0.0001,70,70,2,rms,60
11,0.004358833621859512,0.0015563276997353468,20,20,1,50,0.0001,70,70,2,rms,90
11,0.05356518696787669,0.07766982695708673,20,20,1,50,0.0001,70,70,2,adam,30
11,0.050626483294322636,0.07284720891967733,20,20,1,50,0.0001,70,70,2,adam,60
