round_epochs,loss,val_loss,batch_size,dense2_nodes,dense_layers,epochs,lr,lstm1_nodes,lstm2_nodes,lstm_layers,optimizer,time_steps
50,0.00044519234576347944,0.043564101487087704,20,20,1,50,0.001,70,40,1,rms,30
50,0.0005140987477257067,0.08920334592620109,20,20,1,50,0.001,70,40,1,rms,60
50,0.0006134936954868881,0.037426749327116544,20,20,1,50,0.001,70,40,1,rms,90
50,0.013052217074992819,0.0434373947015653,20,20,1,50,0.001,70,40,1,adam,30
50,0.01077096511238264,0.09952604647805081,20,20,1,50,0.001,70,40,1,adam,60
50,0.01318128508449133,0.04588228894604577,20,20,1,50,0.001,70,40,1,adam,90
