epoch,acc,loss,val_acc,val_loss
0,0.0008474576,0.028407388603535748,0.0,0.027290786831424788
0,0.0016949152,0.027105624456021746,0.0,0.02277627644630579
1,0.0016949152,0.011563850771951474,0.0,0.013542931741819931
2,0.0016949152,0.009232417506686711,0.0,0.011185580291427098
3,0.0016949152,0.00901679678867429,0.0,0.0065746863659184715
4,0.0016949152,0.00783251864851405,0.0,0.013427558068472605
5,0.0016949152,0.007396800506670596,0.0,0.004533244834209864
6,0.0016949152,0.0074303721519723784,0.0,0.005531487162583149
7,0.0016949152,0.006329869255581397,0.0,0.005548306705000309
8,0.0016949152,0.005967546254396439,0.0,0.004920813219191937
9,0.0016949152,0.006040732293405523,0.0,0.007211284568676582
10,0.0016949152,0.005361493398687976,0.0,0.004877217722913394
0,0.0008474576,0.02661731713688222,0.0,0.015446107906217758
