epoch,acc,loss,val_acc,val_loss
0,0.00050251256,0.015520620864146769,0.0,0.009096324405012032
1,0.00050251256,0.00607701773982233,0.0,0.0024183577067257525
2,0.00050251256,0.00481171867559809,0.0,0.0013674718550949667
3,0.00050251256,0.004526743602157388,0.0,0.0005853092155424141
4,0.00050251256,0.0033453445543474214,0.0,0.00103379462355709
5,0.00050251256,0.00273857935742433,0.0,0.0011491821812038931
6,0.00050251256,0.002320915887930229,0.0,0.00034205124696503236
7,0.00050251256,0.0020728138896716226,0.0,0.0008330144773935899
8,0.00050251256,0.0018355554746623014,0.0,0.000731627069702275
9,0.00050251256,0.0018300417920073784,0.0,0.0007287299255646454
10,0.00050251256,0.001676286279835771,0.0,0.0002630093905888013
