epoch,loss,val_loss
0,0.02666929497350775,0.038083981159919254
1,0.015277718998791285,0.03875361499376595
2,0.014072422319601978,0.03924262422757844
3,0.013891476108201186,0.041814569112223886
4,0.013115717390617683,0.042523862153757364
5,0.012737928187689889,0.04618960754790654
6,0.01162533156793733,0.04369781356460104
7,0.009769877991007276,0.04779390218512466
8,0.009249273193859724,0.048096973701224975
9,0.00840015548407732,0.04731402274531623
10,0.0077544651731343275,0.04392362318079298
11,0.0069832183671038805,0.043461523251608014
12,0.0061969119030514256,0.04253507593724256
13,0.006646773615271676,0.042627950625804566
14,0.005711295471138241,0.03967403971667712
15,0.00584143590551787,0.03995599390085166
16,0.005820532931932178,0.03897625425209602
17,0.005555973769675697,0.037313083361368626
18,0.005234804020810816,0.039594475723182164
19,0.005615692385051156,0.03665699728298932
20,0.005170280456627209,0.03677578899078071
21,0.005209910592073622,0.03730018627053747
22,0.005280169464142328,0.03686589250961939
23,0.005057785871799043,0.0368235200488319
24,0.005163764574649234,0.03716895643932124
25,0.005074345717328278,0.036723444995004684
26,0.00497557694120473,0.03576585484552197
27,0.005071555330984332,0.03488033507407332
28,0.004915514999495154,0.03574279064196162
29,0.005072247069071623,0.03503028519723254
0,0.02305773112010399,0.08795764994748095
1,0.015153101080972137,0.08622208788515405
2,0.015070491627968773,0.08722090950988709
3,0.01496756319285869,0.08961937834132225
4,0.01422363253442025,0.08855315258211278
5,0.013487069213744065,0.09004659978474708
6,0.012857299886004191,0.09600031344180411
7,0.011843343096023256,0.0971934550461617
8,0.00999141496258101,0.09804112392854183
9,0.009119460228689466,0.09557760946769664
10,0.007252059170195476,0.0918826162815094
11,0.0071925649765145145,0.09189930304567864
12,0.0063778321879605455,0.08877768896599399
13,0.006252145357053689,0.08767841318424077
14,0.005994864163280587,0.0931478868773643
15,0.005742531388555888,0.08648336803580219
16,0.005479122386807858,0.08591068923433727
17,0.005560767211871353,0.08723450028040308
18,0.005430896563050949,0.08640147396858702
19,0.005157192201221908,0.08288674583618945
20,0.005323553431398151,0.08291361284779107
21,0.005185227661812207,0.08295580479217336
22,0.0049345030042465135,0.08367061618953309
23,0.004932741437582393,0.08639332517347437
24,0.004917489746914744,0.08459115579248742
25,0.004809299598546755,0.08353918043777664
26,0.005034224232517634,0.08167881204528694
27,0.0048382172027057165,0.0820342938197737
28,0.004583368171947171,0.08144831423588256
29,0.004459671134651272,0.08489105577005986
0,0.023922043888145412,0.04681876839862929
